Odcinki pilotażowe (wiosna 1999)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery[1];Reżyseria;Scenariusz
463;Klituś Bajduś;Ferdynand nieoczekiwanie zostaje poproszony o zaopiekowanie się przez kilka minut dziećmi sąsiadek, które muszą zrobić zakupy. Okazuje się, że dzieci bardzo dobrze czują się w jego towarzystwie.;15.04.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
464;Piszczyk;Ferdynand Kiepski słyszy dziwny rodzaj piszczenia w ścianie. Rodzina i sąsiedzi podejrzewają, że padł ofiarą manii prześladowczej. Ferdek zwierza się Kozłowskiemu, który traktuje sprawę poważnie.;22.04.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
465;Paradoks;Problem natury filozoficznej dręczy Ferdynanda. Ferdek wciąga w dyskusję sąsiadów, którzy zasiewają w nim inne skomplikowane filozoficzne wątpliwości. Kiepski wpada w spiralę dywagacji filozoficznych.;29.04.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
466;Bliżej człowieka;"Zbliżają się wybory. Prezes Kozłowski postanawia zorganizować kampanię w kamienicy Kiepskich. Jego polityczne hasło brzmi: ""Bliżej człowieka"". Prezes narzuca się wyborcom, przedstawiając swój program.";06.05.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
467;Powrót Kopcińskiego;Halina informuje rodzinę o śmierci znajomego emeryta z osiedla, Tadeusza Kopcińskiego. Ferdek i Halina czują się w obowiązku, aby udać się na pogrzeb zmarłego, który był osobą samotną.;13.05.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
468;Ping Pong;Ferdynand i Marian dochodzą do wniosku, iż przeżyli ze sobą tak wiele, że nie mają sobie więcej nic ciekawego do powiedzenia. Postanawiają przebywać w swojej obecności, spożywając alkohol w milczeniu.;20.05.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
;;;;;
Sezon 26 (jesień 2015)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery;Reżyseria;Scenariusz
469;Grzyb - szatan;Mieszkańcy osiedla uczestniczą w grzybobraniu zorganizowanym przez prezesa Kozłowskiego. Wycieczka przebiega w miłej atmosferze do momentu, gdy okazuje się, że zaginął jeden z emerytów.;02.09.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
470;Tapczan;Pewnego wieczoru podczas sprzeczki małżeńskiej pod Kiepskimi rozpada się tapczan. Halinka traktuje to jako znak opatrzności. Oświadcza Ferdkowi, że nadszedł czas, aby ich życiowe drogi się rozeszły.;09.09.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
471;Kajfasz;Ferdek i Halina oglądają film o tematyce biblijnej. Aktor kreujący w filmie rolę Kajfasza jest podobny do Paździocha. Ferdka zaczyna prześladować myśl, że Paździoch jest współczesnym Kajfaszem.;16.09.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
472;Gdzie jest Karolak?;Między Haliną a Ferdkiem wybucha spór o popularnego aktora Tomasza Karolaka (który gościnnie wystąpił w tym odcinku). Ferdek bardzo lubi oglądać filmy i programy z udziałem tego aktora, natomiast Halina wręcz przeciwnie. Spór pomiędzy Kiepskimi przenosi się na pozostałych mieszkańców kamienicy, a nawet na teren całego osiedla.;23.09.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
473;Żądło;Kazimierz Badura, właściciel osiedlowego złomu, zwraca się do Ferdynanda Kiepskiego z propozycją założenia kabaretu. Mieszkańcy osiedla podchodzą do pomysłu z wielkim entuzjazmem. Jedyną osobą przeciwną powstaniu kabaretu jest Halina Kiepska, która twierdzi, że Ferdek nie ma żadnych zdolności artystycznych, a przede wszystkim humoru, więc nie powinien pod żadnym pozorem zajmować się przemysłem rozrywkowym. Ferdek postanawia udowodnić żonie, że jest inaczej.;30.09.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
474;Małpia grypa;We Wrocławiu pojawia się epidemia nieznanego wirusa tzw. małpiej grypy. Wybucha panika. Ludzie stopniowo zaczynają zamieniać się w… małpy. Wszelkie antybiotyki okazują się nieskuteczne. Ferdek jako jedyny wydaje się odporny na działanie wirusa.;07.10.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
475;Ram dżam dżam;Na temat prezesa Kozłowskiego zaczynają krążyć dwuznaczne opinie o jego moralności. Plotka głosi, że prezes jest erotomanem. Żona Kozłowskiego żąda rozwodu. Po jej stronie stają wszystkie kobiety z osiedla. Osamotniony prezes znajduje wsparcie i zrozumienie u Ferdynanda Kiepskiego oraz Mariana Paździocha, którzy również nie cieszą się najlepszą opinią u żon.;14.10.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
476;Dinozaur;Ferdynand Kiepski zauważa, że Boczek robiąc dziurki w pasku posługuje się dziwnym przedmiotem, przypominającym kieł Dinozaura, którego widział w telewizji. Nagabywany Boczek chwali się, że jest w posiadaniu nie tylko zęba, ale całego szkieletu przedpotopowego gada. Ferdynand Kiepski i Marian Paździoch zastanawiają się, jak wyłudzić od Boczka szkielet dinozaura i sprzedać go z dużym zyskiem.;21.10.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
477;Memento mori;Halina Kiepska oświadcza mężowi, że nie chce po śmierci spoczywać z nim w tym samym grobie. Uważa, że dostatecznie długo męczyła się z nim za życia, więc nie zamierza tego robić również po śmierci.;28.10.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
478;Tajfun;W skutek ekstremalnych zmian klimatycznych od wielu tygodni trwają upały i susza. Kiepscy szukają wszelkich sposobów, aby przetrwać anomalie pogodowe. Postanawiają pomodlić się o deszcz w kościele.;04.11.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
479;Wyjadacz;Właścicielka warzywniaka, Malinowska, idzie na urlop. Arnold Boczek ją zastępuje. Mieszkańcy spostrzegają, że jakość sprzedawanych produktów się pogorszyła, a niektóre z nich stały się niejadalne.;11.11.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
480;Ptaki ciernistych krzewów;W parafii zwalnia się stanowisko kościelnego. Poprzedni odchodzi na emeryturę. Ksiądz poszukuje na jego miejsce kogoś młodszego i energiczniejszego. Marian Paździoch jest zainteresowany ofertą.;18.11.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
;;;;;
Sezon 27 (wiosna 2016)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery;Reżyseria;Scenariusz
481;Dziwadło;Halinę Kiepską trapi problem znikających ubrań swojego męża. Gdy Ferdkowi zostaje już tylko piżama, na jaw wychodzi, że wszystko przehandlował w zamian za alkohol. Pozbycie się starych dresów okaże się dla niego swoistym oczyszczeniem, gdyż jego dotychczasowe nieróbstwo… odziedziczy nowy nabywca garderoby.;02.03.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
482;Sto jaj;Ferdek znajduje za piecem list, który przed laty został tam schowany. Okazuje się, że wiadomość pochodzi od ś.p. Rozalii Kiepskiej, która uczyniła swojego zięcia jedynym potencjalnym spadkobiercą kosztowności. Ferdka od bogactwa dzieli jeden warunek zjedzenie w obecności adwokata stu jaj, ugotowanych na twardo.;09.03.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
483;Cyceron;Paździochowa wpada w pułapkę piękna i postanawia chirurgicznie poprawić największe atuty swojego ciała. Pod jej wpływem, na kosztowne zmiany w wyglądzie decyduje się również Halina. Zrozpaczeni mężowie, by powstrzymać swoje żony od marnotrawienia pieniędzy, zmuszeni będą sięgnąć po najlepszą broń każdego mężczyzny - komplementy.;16.03.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
484;Obserwator;Wielki niepokój wzbudza w Ferdku zaprzestanie przez jego sąsiada, Arnolda Boczka korzystania ze wspólnej toalety na piętrze Kiepskich. Zaistniała sytuacja doprowadza Ferdka do podejrzliwości i sprawi, że jego żona, Halina wraz z Paździochową podejmą się zaradczych działań...;23.03.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
485;La la la;"Ferdynand Kiepski znajduje się w skrajnej depresji. Za namową żony udaje się do lekarza. Lekarz zapisuje mu pakiet leków antydepresyjnych, ale ostrzega Ferdka, że w trakcie kuracji obowiązuje go całkowity zakaz spożywania alkoholu. Ferdek staje przed hamletowskim dylematem: ""Pić albo nie pić"".";30.03.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
486;Maratończyk;Do rodziny Kiepskich z wizytą przychodzi prezes Kozłowski. Oświadcza, że zamierza zorganizować wielki osiedlowy maraton. Bardzo zależy mu na tym, aby z numerem 1 wystartował Ferdynand Kiepski. Ferdek nie odmawia oficjalnie udziału, ale prywatnie jest pełen wątpliwości, czy podoła wyzwaniu z powodu słabej kondycji fizycznej.;06.04.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
487;Śrubka;W odcinku zobaczymy, jak zaginięcie pewnej małej śrubki może stać się powodem poważnego konfliktu pomiędzy rodzinami Kiepskich i Paździochów i zdekompletowania pięknego holenderskiego roweru.;13.04.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
488;Zimne nóżki;W domu Kiepskich zaczynają się dziać tajemnicze, trudne do wyjaśnienia w logiczny sposób, wypadki. Halina pod wpływem wizji sennej dochodzi do wniosku, że jest to zemsta zza grobu zmarłych wiele lat temu prababki i pradziadka. Chcąc udobruchać złośliwe duchy, wysyła Ferdka na ich grób do rodzinnego Kopcidła z misją zadośćuczynienia.;20.04.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
489;Diabelski młyn;Do pustostanu w kamienicy Kiepskich niespodziewanie wprowadza się prezes Kozłowski z żoną. Prezes znajduje się w śpiączce. Wśród sąsiadów zaczynają krążyć plotki, że Kozłowski na skutek malwersacji finansowych został postawiony w stan oskarżenia przez prokuraturę i dlatego symuluje chorobę.;27.04.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
490;Robak;Ferdek przy zakupie sześciopaku piwa dostaje prezent w postaci małego laserka. Elektroniczny gadżet bardzo bawi Ferdka i inspiruje go do różnych psikusów. Pojawiający się znikąd i znikający czerwony punkcik bardzo niepokoi Arnolda Boczka. Zaczyna on rozgłaszać informację o istnieniu egzotycznego, jadowitego, nieznanego dotąd nauce, robaka, który zagraża społeczeństwu.;04.05.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
491;Tadeusz Surowy;"Na skutek trudnego do wytłumaczenia zbiegu okoliczności Tadeusz Kopciński zostaje obwołany Królem Polski. Bardzo szybko wczuwa się w nową rolę i obwieszcza, że jego rządy będą bardzo surowe, w związku z tym zostaje mu nadany przydomek ""Tadeusz Surowy"". Większość mieszkańców osiedla przyjmuje ten fakt ze spokojem i podporządkowuje się władcy. Jedynie Ferdynand Kiepski ma pewne wątpliwości.";11.05.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
492;Moby Dick;Media podają elektryzującą informację, że Odrą przypłynął do Wrocławia gigantyczny biały wieloryb. Mieszkańcy osiedla podejmują decyzję o wypłynięciu w rejs, aby upolować morską bestię i pozyskać górę smacznego mięsa. Na czele wyprawy staje legendarny doświadczony wielorybnik Kapitan Dzwonnik.;18.05.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
;;;;;
Sezon 28 (jesień 2016)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery;Reżyseria;Scenariusz
493;Zbigniew Wodecki;Prezes Kozłowski postanawia zorganizować na osiedlu uroczysty koncert Zbigniewa Wodeckiego. Gwiazdor zgadza się pod warunkiem, że nie będzie musiał mieszkać w hotelu. Ferdynand i Halina Kiepscy za namową Prezesa Kozłowskiego postanawiają ugościć artystę w swoim domu.;07.09.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
494;Ukulele;Mariola Kiepska nawiązuje znajomość z tajemniczym panem Romanem Ukulele. Przedstawia go rodzicom, którzy mają nadzieję, że wkrótce poprosi on o rękę Marioli. Poznając bliżej kandydata na męża córki, Ferdek i Halinka zaczynają mieć jednak coraz więcej wątpliwości co do jego zamiarów i intencji. Mariola stara się ich przekonać, że to bardzo romantyczny i utalentowany mężczyzna, z którym pragnie związać się węzłem małżeńskim.;14.09.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
495;Upiór;Boczek utrzymuje, że widział w piwnicy upiora. Jest przerażony i rozhisteryzowany. Sąsiedzi nie dowierzają mu, utrzymując, że konfabuluje on w celu wyłudzenia jedzenia. Jednak plotka wywiera na wszystkich wrażenie i z czasem ulegają oni psychozie - obawiają się o swoje życie i unikają schodzenia do piwnicy. Szczególnie, że w kamienicy dochodzi do awarii prądu. Jedynym, który nie obawia się upiora, jest sąsiad Tadeusz Kopciński.;21.09.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
496;Dziki Dziad;Halina wracając z pracy spotyka na korytarzu dziada, który śpi w pudle. Jest oburzona i stara się go wypędzić. Dziad w odpowiedzi na to życzy jej wszystkiego najgorszego. Kiedy Ferdek przychodzi jej pomóc, okazuje się, że Dziad zniknął. Halina nie może przestać o nim myśleć. Okazuje się, że klątwa Dziada miała nieoczekiwany wpływ na życie wielu osób, które go spotkały.;28.09.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
497;Szczęki;Ferdek spostrzega, że w domu znika jedzenie. Początkowo podejrzewa Mariolę. Następnie podejrzenia padają kolejno na wszystkich pozostałych domowników. Okazuje się, że osoba, która jest sprawcą tych zaginięć, nie pochodzi z rodziny Kiepskich.;05.10.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
498;Koszmar;Ferdek z powodu nadużywania tłustych ciężkostrawnych pokarmów jest zmuszony przejść na dietę. Musi przez jakiś czas odżywiać się tylko kleikiem. Pozostali członkowie rodziny w jego towarzystwie objadają się różnymi smakowitymi pokarmami. Zazdrosny Ferdek przestrzega ich przed przykrymi skutkami popełniania grzechu nieumiarkowania i picia.;12.10.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
499;Masz wiadomość;Paździoch i Ferdek postanawiają ubarwić swoje nudne, monotonne życie. Umawiają się, że będą udawać nawzajem swoje tajemnicze wielbicielki i flirtować drogą SMS-ową z nadzieją, że rozbudzi to zazdrość żon. Stopniowo tak bardzo wcielają się w role, że rozkwita między nimi wirtualny gorący romans.;19.10.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
500;Dzień Ojca;Ferdek ubolewa nad faktem, że nikt z rodziny nie szanuje go jako ojca. Wiąże to z powszechnym upadkiem obyczajów i kultury. Zdesperowany postanawia zmusić rodzinę do uroczystego celebrowania Dnia Ojca, którego on ma być głównym i jedynym bohaterem.;26.10.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
501;Rój;W kamienicy przy ul. Ćwiartki 3/ 4 pojawiają się dzikie pszczoły. Rój z dnia na dzień staje się coraz bardziej agresywny. Przestraszeni sąsiedzi łączą siły w walce z natrętnymi owadami.;02.11.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
502;Baśń tysiąca i jednej nocy;Pewnego dnia Ferdek otrzymuje od Badury stary kolorowy turban. Po założeniu go na głowę Ferdek śni dziwne sny. Okazuje się, że turban ten jest połączony magiczną więzią z dywanem, w którego posiadaniu przypadkowo znajduje się Marian Paździoch. W kamienicy przy ul. Ćwiartki 3 zaczynają się dziać dziwne rzeczy, m.in. pojawiają się przepiękne kobiety Wschodu.;09.11.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
503;Motywator;Halina Kiepska prosi prezesa Kozłowskiego o pomoc w znalezieniu pracy dla swojego, od lat bezrobotnego męża. Prezes postanawia pomóc zaprzyjaźnionej rodzinie. Halina, Mariola pomagają Ferdkowi napisać atrakcyjne C.V. Jednak na rozmowie klasyfikacyjnej Ferdek robi wszystko, aby zrazić do siebie przyszłego pracodawcę. Ale ku jego zaskoczeniu otrzymuje atrakcyjny etat i wynagrodzenie. Nie pozostaje mu nic innego, jak podjąć nową pracę.;16.11.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
504;Kolędniki;Prezes Kozłowski proponuje Ferdkowi, żeby zorganizował grupę kolędników, tak aby osiedle mogło przyczynić się do podtrzymania wymierających tradycji ludowych. Ferdek ochoczo przystępuje do realizacji projektu Prezesa, ale nieoczekiwanie napotyka na poważne trudności. Członkowie zorganizowanej przez niego, grupy nie mogą dojść do porozumienia w kwestii proponowanych im ról.;23.11.2016;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
;;;;;
Sezon 29 (wiosna 2017)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery;Reżyseria;Scenariusz
505;Złoty pociąg;Na skutek doniesień medialnych o rzekomym istnieniu niemieckiego złotego pociągu Ferdek wraz z sąsiadami podejmują desperackie próby odnalezienia skarbu.;04.03.2017;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
506;Mocne uderzenie;Ferdek otrzymuje od Badury perkusję. Postanawia założyć zespół muzyczny. Wkrótce w jego mieszkaniu pojawia się zespół Big Cyc.;11.03.2017;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
507;Wysokie obcasy;Jolasia żąda, aby Waldek kupił jej buty. Waldemar, którego nie stać na tę inwestycję, ucieka z domu.;18.03.2017;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
508;Heca koło pieca;Boczek ostrzega mieszkańców osiedla, że w niedługim czasie zostanie wyłączony dopływ wody i prądu. Mieszkańcy ignorują jego ostrzeżenia. Niebawem zostaje wyłączone również ogrzewanie. Tym samem przepowiednie Boczka sprawdzają się. Mieszkańcy osiedla zostają bez wody, w chłodzie i w ciemnościach. Halina i Ferdek szukają sposobu na przetrwanie kryzysu.;25.03.2017;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
509;Lalka;Halina przypadkowo znajduje w piwnicy starą lalkę. Twierdzi, że jest to lalka, która ozdabiała maskę samochodu w czasie, gdy wraz z Ferdkiem jechali do ślubu. Lalka w tajemniczy sposób zaczyna niekorzystnie wpływać na psychikę Haliny. Ferdek usiłuje pozbyć się lalki, ale okazuje się, że nie jest to proste.;01.04.2017;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
510;Poza zasięgiem;Halina i Paździochowa wyjeżdżają na urlop. Zaniepokojony zniknięciem żony Ferdek rozpoczyna jej poszukiwania.;08.04.2017;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
511;Okruchy pamięci;Halina przypadkowo znajduje w piwnicy stary album rodzinny. Przeglądając i analizując zdjęcia ze ślubu, nabiera podejrzenia, że Ferdek w przeszłości nigdy nie był wobec niej szczery, miał romans, a nawet być może dopuścił się zbrodni. Ferdek uparcie twierdzi, że niczego nie pamięta.;22.04.2017;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
512;Recital;Helena Paździochowa przygotowuje się do recitalu. Zamierza śpiewać i grać na mandolinie.;29.04.2017;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
513;Kocidło;Na podwórku kamienicy przy Ćwiartki 3 pojawia się tajemniczy duży kocur. Zakłóca ciszę nocną głośnym miauczeniem a szczególnie pod oknami Kiepskich.;06.05.2017;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
514;Tłusty czwartek;Zbliża się tłusty czwartek. Wszystkich opanowuje gorączka konieczności zakupienia i spożycia jak największej ilości pączków.;13.05.2017;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
515;Śledzik;Kozłowski podejrzewa, że ktoś chce zniszczyć jego karierę zawodową. Wkrótce przeczucia stają się jego obsesją.;20.05.2017;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
516;Alegretto;Helena Paździoch składa Halinie Kiepskiej niespodziewaną propozycję, by odpłatnie przyjęła pod swój dach i zaopiekowała się jej mężem, Marianem.;27.05.2017;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
;;;;;
Sezon 30 (jesień 2017)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery;Reżyseria;Scenariusz
517;Mikołaj Kopernik;Mariolka spotka kolejnego adoratora o nazwisku Mikołaj Kopernik.;06.09.2017[4];Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
518;Trzy siostry;Do Kiepskich przyjeżdżają trzy ciotki z Puław. Ferdek jest niezadowolony z ich wizyty i stara się pozbyć niezapowiedzianych gości.;13.09.2017[5];Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
519;Czekolada;Halina jest załamana, ponieważ wszyscy zapomnieli o jej urodzinach. Stwierdza, że pożycie małżeńskie jej i Ferdka dobiega końca.;20.09.2017[6];Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
520;Zmiana czasu;Kiepskich czeka zmiana czasu. Tradycyjnie Ferdek będzie przeciwny temu zwyczajowi.;27.09.2017[7];Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
521;Dusseldorf;Boczek otrzymuje propozycję pracy w Düsseldorfie. Waha się, czy ją przyjąć. Ferdek go do tego namawia, chcąc pozbyć się natrętnego sąsiada.;04.10.2017[8];Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
522;Wiele hałasu o nic;Mieszkańcy kamienicy są zaniepokojeni hałasem dochodzącym ze śmietnika. Rano zastają tam bałagan. Okazuje się, że sprawcą rabanu jest niejaki Mutant.;11.10.2017[9];Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
523;Non profit;Umiera dotychczasowy dozorca kamienicy, Kieliszkowski. Nowym dozorcą mianuje się Boczek.;18.10.2017[10];Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
524;Arcyfakt;Marian Paździoch twierdzi, że jest o krok od znalezienia Świętego Graala.;25.10.2017[11];Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
525;Fachowiec;W mieszkaniu Kiepskich występują liczne awarie. Halina o pomoc w naprawie prosi Arnolda Boczka.;08.11.2017[12];Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
526;Orinoko;Marian Paździoch stara się nakłonić Ferdka, aby razem z nim wyruszył do Ameryki Południowej w poszukiwaniu motyla o nazwie Orinoko.;15.11.2017[13];Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
527;Kalafior;Prezes Kozłowski informuje Ferdka o zbliżającym się 50-leciu osiedla Kosmonautów. Proponuje mu wykreowanie oryginalnego pomysłu na uroczyste obchody.;22.11.2017[14];Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
528;Mężczyzna w kapeluszu;Halina kupuje Ferdkowi nowy fotel, natomiast stary wyrzuca. Ferdek nie akceptuje zmiany i rozpoczyna poszukiwania mebla.;29.11.2017[15];Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
;;;;;
Sezon 31 (jesień 2018)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery;Reżyseria;Scenariusz
529;Małżeństwo z rozsądku;Mariola deklaruje, że chce pozostać osobą niezamężną. Ferdek postanawia ją zachęcić do zamążpójścia.;05.09.2018[16];Adek Drabiński;Aleksander Sobiszewski
;;;;;Katarzyna Sobiszewska
530;Pies ogrodnika;Marian Paździoch postanawia ostatecznie uniemożliwić Boczkowi korzystanie z ich toalety. W tym celu zamierza użyć najnowocześniejszych zabezpieczeń.;12.09.2018[17];Adek Drabiński;Aleksander Sobiszewski
;;;;;Katarzyna Sobiszewska
531;Bankomat;Halina przez roztargnienie zapomina zabrać z bankomatu pobrane pieniądze. Jest załamana ponieważ uważa, że pieniądze zabrał ktoś inny. Ferdek drogą prywatnego śledztwa ustala, że głównym podejrzanym w tej sprawie jest Marian Paździoch.;19.09.2018[18];Adek Drabiński;Aleksander Sobiszewski
;;;;;Katarzyna Sobiszewska
532;Pacynka;W wyniku awantury w sklepie u Stasia Ferdek zostaje sfilmowany telefonem komórkowym, a filmik zostaje opublikowany w mediach społecznościowych. Nagranie robi oszałamiającą karierę w Internecie, a Ferdek zyskuje popularność. Prezes Kozłowski postanawia wykorzystać Ferdka w swoich rozgrywkach politycznych.;26.09.2018[19];Adek Drabiński;Aleksander Sobiszewski
;;;;;Katarzyna Sobiszewska
